typestatus	standard	vetted
PARATYPE OF PELUSIOS WILLIAMSI LUTESCENS, LAURENT, 1965, ANN. MUS. ROY. AFRIQUE CENT., SER. 8, 135:16	paratype	1
PARATYPE OF PENEOTHELLO CRYPTOLEUCUS MAXIMUS (DIAMOND, 1985)	paratype	1
PARATYPE OF PENTHESTES CAROLINENSIS EXTIMUS, TODD, W.E.CLYDE AND SUTTON, G.M. 1936. PROCEEDINGS OF THE BIOLOGICAL SOCIETY OF WASHINGTON, 49:70.	paratype	1
PARATYPE OF PENTHESTES CAROLINENSIS EXTIMUS, TODD, W.E.CLYDE AND SUTTON, G.M. 1936. TAXONOMIC REMARKS OF THE CAROLINA CHICKADEE, PENTHESTES CAROLINENSIS. PROCEEDINGS OF THE BIOLOGICAL SOCIETY OF WASHINGTON, 49:70.	paratype	1
PARATYPE OF PERICROCOTUS FLAMMEUS NEGLECTUS, PARKES, K.C. 1974. GEOGRAPHIC VARIATION IN THE FLAME MINIVET ON THE ISLAND OF MINDANAO, PHILIPPINES. ANNALS OF CARNEGIA MUSEUM, 45:38-40. PUBLISHED 23 DECEMBER 1974.	paratype	1
PARATYPE OF PHALACROCORAX AURITUS HEURETUS, WATSON G.E., OLSON S.L., AND MILLER J.R. 1991. A NEW SUBSPECIES OF THE DOUBLE-CRESTED CORMORANT. PROCEEDINGS OF THE BIOLOGICAL SOCIETY OF WASHINGTON, 104: 356-369. PUBLISHED 18 JUNE 1991.	paratype	1
PARATYPE OF PHALANGER ORIENTALIS PENINSULAE	paratype	1
PARATYPE OF PHELSUMA ANTANOSY	paratype	1
PARATYPE OF PHELSUMA MALAMAKIBO	paratype	1
PARATYPE OF PHEUGOPEDIUS MACULIPECTUS MICROSTICTUS GRISCOM	paratype	1
PARATYPE OF PHEUGOPEDIUS MACULIPECTUS MICROSTICTUS, GRISCOM, L. 1930. CRITICAL NOTES ON CENTRAL AMERICAN BIRDS. NEW ENGLAND ZOOLOGICAL CLUB, 12:5. PUBLISHED 3 APR 1930.	paratype	1
PARATYPE OF PHILAUTUS HAZELAE, TAYLOR, 1920, PHILIPPINE JOUR. SCI., 16:298	paratype	1
PARATYPE OF PHOLIDOBOLUS MACBRYDEI, MONTANUCCI, 1973, UNIV. KANSAS MUS. NAT. HIST., MISC. PUBL., 59:35	paratype	1
PARATYPE OF PHOLIDOBOLUS PREFRONTALIS, MONTANUCCI, 1973, UNIV. KANSAS MUS. NAT. HIST., MISC. PUBL., 59:32	paratype	1
PARATYPE OF PHRYNOBATRACHUS ANOTIS, SCHMIDT AND INGER, 1959, EXPL. PARC NAT. UPEMBA MISS. G. F. DE WITTE, 56:139	paratype	1
PARATYPE OF PHRYNOBATRACHUS CRYPTOTIS, 1959, EXPL. PARC NAT. UPEMBA MISS. G. F. DE WITTE, 56:143	paratype	1
PARATYPE OF PHRYNOSOMA ORBICULARE DURANGOENSIS	paratype	1
PARATYPE OF PHYLLOBATES ZAPARO	paratype	1
PARATYPE OF PHYLLODACTYLUS DAVISI	paratype	1
PARATYPE OF PHYLLODACTYLUS DUELLMANI	paratype	1
PARATYPE OF PHYLLODACTYLUS LANEI	paratype	1
PARATYPE OF PHYLLODACTYLUS LANEI RUPINUS	paratype	1
PARATYPE OF PHYLLODACTYLUS MURALIS	paratype	1
PARATYPE OF PHYLLODACTYLUS MURALIS ISTHMUS	paratype	1
PARATYPE OF PHYLLOMEDUSA  PAILONA, SHREVE, 1959, BREIORA, 113:1	paratype	1
PARATYPE OF PHYLLOMEDUSA PAILONA, SHREVE, 1959, BREIORA, 113:1	paratype	1
PARATYPE OF PHYLLORHYNCHUS DECURTATUS NUBILUS	paratype	1
PARATYPE OF PHYLLORHYNCHUS DECURTATUS PERKINSI, KLAUBER, 1935, BULL. ZOOL. SOC. SAN DIEGO, 12:11	paratype	1
PARATYPE OF PHYSALAEMUS AGUIRREI, BOKERMANN, 1966, PHYSIS, 26:194	paratype	1
PARATYPE OF PHYSALAEMUS CENTRALIS, BOKERMAN, 1962, REV. BRAS. BIOL., 22:216	paratype	1
PARATYPE OF PHYSALAEMUS CENTRALIS, BOKERMANN, 1962, REV. BRAS. BIOL., 22:216	paratype	1
PARATYPE OF PHYSALAEMUS CICADA, BOKERMANN, 1966, REV. BRAS. BIOL., 26:257	paratype	1
PARATYPE OF PHYSALAEMUS JORDANENSIS, BOKERMANN, 1967, REV. BRAS. BIO., 23:135	paratype	1
PARATYPE OF PHYSALAEMUS OBTECTUS, BOKERMANN, 1966, PHYSIS, 26:197	paratype	1
PARATYPE OF PICUS FLAVINUCHA MARIANAE, BISWAS. 1952. GEOGRAPHICAL VARIATION IN THE WOODPECKER PICUS FLAVINUCHA GOULD. IBIS, 94 ISSUE 2:210-219. PAGE 213.	paratype	1
PARATYPE OF PINAROLESTES HAMLINI	paratype	1
PARATYPE OF PITUOPHIS DEPPEI GIBSONI	paratype	1
PARATYPE OF PLATYSAURUS IMPERATOR, BROADLEY, 1962, OCC. PAPERS NAT. MUS. SO. RHODESIA, 3:816	paratype	1
PARATYPE OF PLATYSAURUS MACULATUS, BROADLEY, 1965, ARNOLDIA, 1(33):1	paratype	1
PARATYPE OF PLATYSAURUS PUNGWEENSIS BLAKEI, BROADLEY, 1964, ARNOLDIA, 1(5):1	paratype	1
PARATYPE OF PLECTROHYLA ACANTHODES	paratype	1
PARATYPE OF PLECTROHYLA MATUDAI	paratype	1
PARATYPE OF PLECTROHYLA SAGORUM	paratype	1
PARATYPE OF PLETHODON ALBAGULA,GROBMAN, 1944, ANN. NEW YORK ACAD. SCI., 45: 283	paratype	1
PARATYPE OF PLETHODON ASUPAK	paratype	1
PARATYPE OF PLETHODON CADDOENSIS	paratype	1
PARATYPE OF PLETHODON CINEREUS ANGUSTUCLAVIUS, GROBMAN, 1944, ANN. NEW YORK ACAD. SCI., 45:302	paratype	1
PARATYPE OF PLETHODON CINEREUS POLYCENTRATUS	paratype	1
PARATYPE OF PLETHODON CINEREUS SERRATUS, GROBMAN, 1944, ANN. NEW YORK ACAD. SCI., 45:306	paratype	1
PARATYPE OF PLETHODON CLEMSONAE	paratype	1
PARATYPE OF PLETHODON DIXI, POPE AND FOWLER, 1949, NAT. HIST. MISC. CHICAGO ACAD. SCI. 47:1	paratype	1
PARATYPE OF PLETHODON GLUTINOSUS ALBAGULA, GROBMAN, 1944, ANN. NEW YORK ACAD. SCI., 45:283	paratype	1
PARATYPE OF PLETHODON GORDONI	paratype	1
PARATYPE OF PLETHODON HOFFMANI, HIGHTON, 1971, VIRGINIA POLYTECH. INST., RES. DIV. MONOGR., 4:151	paratype	1
PARATYPE OF PLETHODON HULDAE	paratype	1
PARATYPE OF PLETHODON HULDAE, GROBMAN, 1949, PROC. BIOL. SOC. WASHINGTON, 62:136	paratype	1
PARATYPE OF PLETHODON JORDANI TEYAHALEE	paratype	1
PARATYPE OF PLETHODON LONGICRUS, ALDER AND DENNIS, 1962, OHIO HERO. SOC., SPECIAL PUBL., 4:1	paratype	1
PARATYPE OF PLETHODON NETTINGI, GREEN, 1938, ANN. CARNEGIE MUS., 27:295	paratype	1
PARATYPE OF PLETHODON OUACHITAE, DUNN AND HEINZE, 1933, COPEIA, NO 3:121	paratype	1
PARATYPE OF PLETHODON RICHMONDI POPEI, HIGHTON AND GROBMAN, 1956, HERPETOLOGICA, 12:187	paratype	1
PARATYPE OF PLETHODON RICHMONDI SHENANDOAH	paratype	1
PARATYPE OF PLETHODON RICHMONDI SHENANDOAH, HIGHTON AND WORTHINGTON, 1967, COPEIA, 1967:619	paratype	1
PARATYPE OF PLETHODON RICHMONDI, NETTING AND MITTLEMAN, 1938, ANN. CARNEGIE MUS., 27:288	paratype	1
PARATYPE OF PLETHODON SHERMANI RABUNENSIS, POPE AND HAIRSTON, 1948, COPEIA, 1948:106	paratype	1
PARATYPE OF PLETHODON STORMI	paratype	1
PARATYPE OF PLETHODON STORMI, HIGHTON AND BRAME, 1965, PILOT REGISTER ZOOL., NO. 20	paratype	1
PARATYPE OF PLETHODON WELLERI, WALKER, 1931, PROC. JUNIOR SOC., NAT. SCI. (CINCINNATI), 2:48	paratype	1
PARATYPE OF PLETHODONTOHYLA MIHANIKA	paratype	1
PARATYPE OF POLYCHROIDES PERUVIANUS	paratype	1
PARATYPE OF POMATOSTOMUS INNOMINATUS (MATHEWS, 1924)	paratype	1
PARATYPE OF PRAOMYS DELECTORUM ((THE CORYNDON MUSEUM))	paratype	1
PARATYPE OF PRAOMYS MINOR (HATT)	paratype	1
PARATYPE OF PRIONODACTYLUS MARIANUS	paratype	1
PARATYPE OF PROBREVICEPS MACRODACTYLUS LOVERIDGEI	paratype	1
PARATYPE OF PROCTOPORUS ACHLYENS	paratype	1
PARATYPE OF PSAMMODROMUS JEANNEAE, BUSACK, SALVADOR AND LAWSON, 2006, ANN. CARNEGIE MUS., 75:1	paratype	1
PARATYPE OF PSAMMODROMUS MANUELAE, BUSACK, SALVADOR AND LAWSON, 2006, ANN. CARNEGIE MUS., 75:1:1-10	paratype	1
PARATYPE OF PSAMMOPHIS SUBTAENIATUS ORIENTALIS, BROADLEY, 1977, ARNOLDIA, 8(12):17	paratype	1
PARATYPE OF PSEUDACRIS BRIMLEYI	paratype	1
PARATYPE OF PSEUDACRIS NIGRITA KALMI, HARPER, 1955, CHICAGO ACAD. SCI., NAT HIST. MICS., 150:1	paratype	1
PARATYPE OF PSEUDEMYS FLORIDANA PENINSULARIS	paratype	1
PARATYPE OF PSEUDEMYS NELSONI	paratype	1
PARATYPE OF PSEUDEMYS NELSONI, CARR, 1938, OCCAS. PAPERS BOSTON SOC. NAT. HIST., 8:307	paratype	1
PARATYPE OF PSEUDIS PARADOXA CARIBENSIS, GALLARDO, 1961, BULL. MUS. COMP. ZOOL., 125:116	paratype	1
PARATYPE OF PSEUDOBRANCHUS STRIATUS AXANTHUS, NETTING AND GOIN, 1942, ANN. CARNEGIE MUS., 29:183	paratype	1
PARATYPE OF PSEUDOBRANCHUS STRIATUS AXANTHUS, NETTING AND GOING, 1942, ANN. CARNEGIE MUS., 29:183	paratype	1
PARATYPE OF PSEUDOBRANCHUS STRIATUS BELLI	paratype	1
PARATYPE OF PSEUDOBRANCHUS STRIATUS SPHENISCUS, GOIN AND CRENSHAW, 1949, ANN. CARNEGIE MUS., 31:277	paratype	1
PARATYPE OF PSEUDOEURYCEA SCANDENS	paratype	1
PARATYPE OF PSEUDOEURYCEA TLAHCUILOH	paratype	1
PARATYPE OF PSEUDOFICIMIA PULCHERRIMA	paratype	1
PARATYPE OF PSEUDOGONATODES FURVUS	paratype	1
PARATYPE OF PSEUDOGONATODES MANESSI	paratype	1
PARATYPE OF PSEUDOPHRYNE BLANCHARDI	paratype	1
PARATYPE OF PSEUDORHABDION MCNAMARAE, TAYLOR, 1917, PHILIPPINE JOUR. SCI., (D) 12:363	paratype	1
PARATYPE OF PSEUDOTRITON DURYI, WELLER, 1930, PROC. JUNIOR SOC. NAT. SCI. (CINCINNATI), 1:7	paratype	1
PARATYPE OF PSEUDOTRITON MONTANUS DIASTICTUS, BISHOP, 1941, OCCAS. PAPERS MUS. ZOOL. UNIV. MICHIGAN, 451:14	paratype	1
PARATYPE OF PSEUDOTRITON MONTANUS FLORIDANUS	paratype	1
PARATYPE OF PSEUDOTRITON MONTANUS FLORIDANUS, NETTING AND GOIN, 1942, ANN. CARNEGIE MUS., 29:175	paratype	1
PARATYPE OF PSEUDOTRITON RUBER VIOSCAI, BISHOP, 1928, OCCAS. PAPERS BOSTON SOC. NAT. HIST., 5:247	paratype	1
PARATYPE OF PSEUDOXYRHOPUS KELY	paratype	1
PARATYPE OF PSEUDOXYRHOPUS SOKOSOKO	paratype	1
PARATYPE OF PTERALOPEX ATRATA	paratype	1
PARATYPE OF PTERODROMA BREVIPES MAGNIFICENS (BRETAGNOLLE & SHIRIHAI, 14 DEC 2010)	paratype	1
PARATYPE OF PTEROPUS TOKUDAE (TATE, 1934)	paratype	1
PARATYPE OF PTYCHADENA GANSI, LAURENT, 1965, ANN. MUS. ROY. AFRIQUE CENT., SER. 8, 134:18	paratype	1
PARATYPE OF PTYCHOGLOSSUS VALLENSIS	paratype	1
PARATYPE OF PTYCHOHYLA IGNICOLOR	paratype	1
PARATYPE OF PTYCHOHYLA SCHMIDTORUM	paratype	1
PARATYPE OF RAMPHASTOS INNOMINATUS, TODD, W.E.CLYDE. 1943. CRITICAL REMARKS ON THE TOUCANS. PROCEEDINGS OF THE BIOLOGICAL SOCIETY OF WASHINGTON, 56:158.	paratype	1
PARATYPE OF RANA  GUERREROI, TAYLOR, 1920, PHILIPPINE JOUR. SCI., 16:255	paratype	1
PARATYPE OF RANA ALBOLABRIS ADISCIFERA, SCHMIDT AND INGER, 1959, INST. PARCS NATIONAUX CONGO BELGE, EXPLORATION PARC NATIONAL DE L'UPEMBA, FASC. 56:48	paratype	1
PARATYPE OF RANA CAPITO STERTENS, SCHWARTZ AND HARRISON, 1956, PROC. BIOL. SOC. WASHINGTON, 69:136	paratype	1
PARATYPE OF RANA DESAEGERI, LAURENT, 1972, EXPL. PARC NAT. VIRUNGA, 2ND SER., 22:91	paratype	1
PARATYPE OF RANA GRANDOCULA, TAYLOR, 1920, PHILIPPINE JOUR. SCI., 16:274	paratype	1
PARATYPE OF RANA GUERREROI, TAYLOR, 1920, PHILIPPINE JOUR. SCI., 16:255	paratype	1
PARATYPE OF RANA MAGNAOCULARIS, FROST AND BAGNARA, 1976, COPEIA (2):332	paratype	1
PARATYPE OF RANA OBSCURA, SCHMIDT AND INGER, 1959, EXPL. PARC NAT. UPEMBA MISS. G. F. DE WITTE, 56:85	paratype	1
PARATYPE OF RANA PALUSTRIS MANSUETII, HARDY, 1964, CHESAPEAKE SCI., 5:91	paratype	1
PARATYPE OF RANA PARVA, TAYLOR, 1920, PHILIPPINE JOUR. SCI., 16:241	paratype	1
PARATYPE OF RANA PRETIOSA LUTEIVENTRIS	paratype	1
PARATYPE OF RANA RUWENZORICA, LAURENT, 1972, EXPL. PARC NAT. VIRUNGA, 2ND SER., 22:93	paratype	1
PARATYPE OF RANA SERVOSA, GOIN AND NETTING, 1940, ANN. CARNEGIE MUS., 28:137	paratype	1
PARATYPE OF RANA SEVOSA, GOIN AND NETTING, 1940, ANN. CARNEGIE MUS., 28:137	paratype	1
PARATYPE OF RANA UPEMBAE, SCHMIDT AND INGER, 1959, EXPL. PARC NAT. UPEMBA MISS. G. F. DE WITTE, 56:111	paratype	1
PARATYPE OF RANA YAVAPAIENSIS	paratype	1
PARATYPE OF RHADINAEA CUNEATA	paratype	1
PARATYPE OF RHADINAEA GAIGEAE	paratype	1
PARATYPE OF RHADINAEA HEMPSTEADAE	paratype	1
PARATYPE OF RHADINAEA HESPERIA	paratype	1
PARATYPE OF RHADINAEA ORINA, GRIFFIN, 1915, MEM. CARNEGIE MUS., 7:195	paratype	1
PARATYPE OF RHADINAEA ORINA, GRIFFIN, 1915, MEM. CARNEGIE MUS., 7:195.FIDE DIXON, 1983	paratype	1
PARATYPE OF RHADINAEA TAENIATA AEMULA	paratype	1
PARATYPE OF RHAMPHIOPHIS ACUTUS WITTEI, LAURENT, 1956, ANN. MUS. ROY. CONGO BELGE, SER. 8, 48:244	paratype	1
PARATYPE OF RHINOLOPHUS CANUTI TIMORENSIS (GOODWIN)	paratype	1
PARATYPE OF RHINOLOPHUS CELEBENSIS PARVUS (GOODWIN, 1979)	paratype	1
PARATYPE OF RHINOLOPHUS PHILIPPINENSIS MAROS (TATE ET AL., 1939)	paratype	1
PARATYPE OF RHINOLOPHUS PHILIPPINENSIS MONTANUS	paratype	1
PARATYPE OF RHINOLOPHUS PUSILLUS PAGI (TATE ET AL., 1939)	paratype	1
PARATYPE OF RHOPTROPUS BOULTONI, SCHMIDT, 1933, ANN. CARNEGIE MUS., 22:7	paratype	1
PARATYPE OF S. CHOCOENSIS	paratype	1
PARATYPE OF SALVADORA HEXALEPIS DESERTICOLA	paratype	1
PARATYPE OF SALVADORA HEXALEPIS KLAUBERI	paratype	1
PARATYPE OF SALVADORA HEXALEPIS MOJAVENSIS	paratype	1
PARATYPE OF SCAPHIOPHRYNE BORIBORY	paratype	1
PARATYPE OF SCAPHIOPHRYNE MENABENSIS	paratype	1
PARATYPE OF SCELOPORUS AENEUS BICANTHALIS	paratype	1
PARATYPE OF SCELOPORUS ANAHUACUS	paratype	1
PARATYPE OF SCELOPORUS ANAHUACUS, LARA-GONGORA, 1983, BULL. MARYLAND HERP. SOC. 19(1):2	paratype	1
PARATYPE OF SCELOPORUS CAUTUS	paratype	1
PARATYPE OF SCELOPORUS CHANEYI	paratype	1
PARATYPE OF SCELOPORUS JARROVII CYANEUS	paratype	1
PARATYPE OF SCELOPORUS JARROVII OBERON	paratype	1
PARATYPE OF SCELOPORUS MELANORHINUS CALLIGASTER	paratype	1
PARATYPE OF SCELOPORUS MELANORHINUS STUARTI	paratype	1
PARATYPE OF SCELOPORUS MERRIAMI ANNULATUS	paratype	1
PARATYPE OF SCELOPORUS NELSONI	paratype	1
PARATYPE OF SCELOPORUS PALACIOSI	paratype	1
PARATYPE OF SCELOPORUS PALACIOSI, LARA-GONGORA, 1983, BULL. MARYLAND HERP. SOC. 19(1):7	paratype	1
PARATYPE OF SCELOPORUS RUFIDORSUM	paratype	1
PARATYPE OF SCELOPORUS SCALARIS SLEVINI	paratype	1
PARATYPE OF SCELOPORUS SPINOSUS	paratype	1
PARATYPE OF SCELOPORUS UNDULATUS BELLI	paratype	1
PARATYPE OF SCELOPORUS UNDULATUS ERYTHROCHEILUS, MASLIN, 1956, HERPETOLOGICA, 12:291	paratype	1
PARATYPE OF SCELOPORUS UNDULATUS VIRGATUS	paratype	1
PARATYPE OF SCELOPORUS VARIABILIS SMITHI	paratype	1
PARATYPE OF SCHOUTEDENELLA MUTA	paratype	1
PARATYPE OF SCINAX ICTERICA	paratype	1
PARATYPE OF SCINCUS RICHMONDI, HAAS, 1961, ANN. CARNEGIE MUS., 36:24	paratype	1
PARATYPE OF SCOLECOMORPHUS ULUGURENSIS, BARBOUR AND LOVERIDGE, 1928, MEM. MUS. COMP. ZOOL., 50:180	paratype	1
PARATYPE OF SCOLECOMORPHUS ULUGURUENSIS	paratype	1
PARATYPE OF SERICORNIS SPILODERA GRANTI, HARTERT. 1930. LIST OF THE BIRDS COLLECTED BY ERNST MYER. NOVITATES ZOOLOGICAE, 36: 85.	paratype	1
PARATYPE OF SIAPHOS AURICULATUS, TAYLOR, 1917, PHILIPPINE JOUR. SCI., (D) 12:377	paratype	1
PARATYPE OF SIAPHOS KEMPI, TAYLOR, 1919, PHILIPPINE JOUR. SCI., 14:118	paratype	1
PARATYPE OF SIBON DUNNI	paratype	1
PARATYPE OF SICHOCOENSIS	paratype	1
PARATYPE OF SIREN INTERMEDIA NETTINGI	paratype	1
PARATYPE OF SIREN INTERMEDIA NETTINGI, GOIN, 1942, ANN. CARNEGIE MUS., 29:211	paratype	1
PARATYPE OF SONORA SEMIANNULATA BLANCHARDI	paratype	1
PARATYPE OF SPHAENORHYNCHUS BROMELICOLA, BOKERMANN, 1966, REV. BRAS. BIOL., 26:18	paratype	1
PARATYPE OF SPHAERODACTYLUS ASTERULUS, SCHWARTZ AND GRAHAM, 1980, TULANE STUD. ZOOL. BOT., 22:8	paratype	1
PARATYPE OF SPHAERODACTYLUS BEATTYI	paratype	1
PARATYPE OF SPHAERODACTYLUS BREVIROSTRATUS, SHREVE, 1968, BREVIORA, 280:10	paratype	1
PARATYPE OF SPHAERODACTYLUS CLENCHI APOCOPTUS, SCHWARTZ, 1983, BULL. CARN. MUS. NAT. HIST. (22):28.	paratype	1
PARATYPE OF SPHAERODACTYLUS CLENCHI, SHREVE, 1968, BREVIORA, 280:21	paratype	1
PARATYPE OF SPHAERODACTYLUS COPEI ASTREPTUS, SCHWARTZ, 1975, HERPETOLOGICA, 31:4	paratype	1
PARATYPE OF SPHAERODACTYLUS COPEI CATAPLEXIS, SCHWARTZ AND THOMAS, 1964, QUART. JOUR. FLORIDA ACAD. SCI., 27:236	paratype	1
PARATYPE OF SPHAERODACTYLUS COPEI PELATES, SCHWARTZ, 1975, HERPETOLOGICA, 31:8	paratype	1
PARATYPE OF SPHAERODACTYLUS CORTICOLA CAMPTER, SCHWARTZ, 1968, ANN. CARNEGIE MUS., 39:237	paratype	1
PARATYPE OF SPHAERODACTYLUS CORTICOLA SOTER, SCHWARTZ, 1968, ANN. CARNEGIE MUS., 39:232	paratype	1
PARATYPE OF SPHAERODACTYLUS CRYPHIUS, THOMAS AND SCHWARTZ, 1977, ANN. CARNEGIE MUS., 46:39	paratype	1
PARATYPE OF SPHAERODACTYLUS DECORATUS ATESSARES, THOMAS AND SCHWARTZ, 1966, BRIGHAM YOUNG UNIV. SCI. BULL., BIOL. SER. 7:8	paratype	1
PARATYPE OF SPHAERODACTYLUS DECORATUS PORRASI	paratype	1
PARATYPE OF SPHAERODACTYLUS DECORATUS PORRASI, SCHWARTZ, 1972, HERPETOLOGICA 28:248	paratype	1
PARATYPE OF SPHAERODACTYLUS DIFFICILIS ANTHRACOMUS, SCHWARTZ, 1983, BULL. CARN. MUS. NAT. HIST. (22):22	paratype	1
PARATYPE OF SPHAERODACTYLUS DIFFICILIS DIOLENIUS, SCHWARTZ, 1983, BULL. CARN. MUS. NAT. HIST. (22):19	paratype	1
PARATYPE OF SPHAERODACTYLUS DIFFICILIS EUOPTER, SCHWARTZ, 1983, BULL. CARN. MUS. NAT. HIST. (22):13	paratype	1
PARATYPE OF SPHAERODACTYLUS DIFFICILIS LYCAUGES, SCHWARTZ, 1983, BULL. CARN. MUS. NAT. HIST. (22):11	paratype	1
PARATYPE OF SPHAERODACTYLUS DIFFICILIS PERATUS, SCHWARTZ, 1983, BULL. CARN. MUS. NAT. HIST. (22):17	paratype	1
PARATYPE OF SPHAERODACTYLUS DIFFICILIS TYPHLOPOUS, SCHWARTZ, 1983, BULL. CARN. MUS. NAT. HIST. (22):14	paratype	1
PARATYPE OF SPHAERODACTYLUS NOTATUS AMAURUS	paratype	1
PARATYPE OF SPHAERODACTYLUS OCOAE, SCHWARTZ AND THOMAS, 1977, J. HERPETOL., 11;61	paratype	1
PARATYPE OF SPHAERODACTYLUS OMOGLAUX, THOMAS, 1982, PROC. BIOL. SOC. WASHINGTON 95:81.	paratype	1
PARATYPE OF SPHAERODACTYLUS RANDI STRAHMI, SCHWARTZ, 1977, PROC. BIO. SOC. WASHINGTON, 90:251	paratype	1
PARATYPE OF SPHAERODACTYLUS RHABDOTUS, SCHWARTZ, 1970, J. HERPETOL., 4:64	paratype	1
PARATYPE OF SPHAERODACTYLUS SEMASIOPS, THOMAS, 1975, HERPETOLOGICA, 31:183	paratype	1
PARATYPE OF SPHAERODACTYLUS STREPTOPHORUS SPHENOPHANES	paratype	1
PARATYPE OF SPHAERODACTYLUS STREPTOPHORUS, THOMAS AND SCHWARTZ, 1977, ANN. CARNEGIE MUS., 46:34	paratype	1
PARATYPE OF SPHAERODACTYLUS TORREI OCUJAL	paratype	1
PARATYPE OF SPHAERODACTYLUS UNDERWOODI, SCHWARTZ, 1968, ANN. CARNEGIE MUS., 39:250	paratype	1
PARATYPE OF SPHAERODACTYLUS ZYGAENA, SCHWARTZ AND THOMAS, 1977, J. HERPETOL., 11:63	paratype	1
PARATYPE OF SPHENOMORPHUS ARBORENS, TAYLOR, 1917, PHILIPPINE JOUR. SCI., (D) 12:373	paratype	1
PARATYPE OF SPHENOMORPHUS COXI, TAYLOR, 1915, PHILIPPINE JOUR. SCI., (D) 10:100	paratype	1
PARATYPE OF SPHENOMORPHUS CURTIROSTRIS, TAYLOR, 1915, PHILIPPINE JOUR. SCI., (D) 10:101	paratype	1
PARATYPE OF SPHENOMORPHUS LEDNICKYI, TAYLOR, 1919, PHILIPPINE JOUR. SCI., 14:120	paratype	1
PARATYPE OF SPHENOMORPHUS MINDANENSIS, TAYLOR, 1915, PHILIPPINE JOUR. SCI., (D) 10:99	paratype	1
PARATYPE OF SPHENOMORPHUS PALUSTRIS, TAYLOR, 1915, PHILIPPINE J. SCI., 10:102	paratype	1
PARATYPE OF SPINDALIS PRETREI PINUS, BANGS, O. AND ZAPPEY, W.R. 1905. BIRDS OF THE ISLE OF PINES. AMERICAN NATURALIST, VOL.39, NO.460:213. PUBLISHED APR 1905.	paratype	1
PARATYPE OF SPONDYLURUS ANEGADAE, S. BLAIR HEDGES & CAITLIN E. CONN, 2012. A NEW SKINK FAUNA FROM CARIBBEAN ISLAND (SQUAMATA, MABUYIDAE, MABUYINAE), ZOOTAXA 3288,244 PP. DESCRIPTION ON PAGE 139.	paratype	1
PARATYPE OF SPONDYLURUS CAICOSAE	paratype	1
PARATYPE OF SPONDYLURUS MONAE	paratype	1
PARATYPE OF SPONDYLURUS MONAE, S. BLAIR HEDGES & CAITLIN E. CONN, 2012. A NEW SKINK FAUNA FROM CARIBBEAN ISLAND (SQUAMATA, MABUYIDAE, MABUYINAE), ZOOTAXA 3288,244 PP. DESCRIPTION ON PAGE 179.	paratype	1
PARATYPE OF SPONDYLURUS POWELLI, S. BLAIR HEDGES & CAITLIN E. CONN, 2012. A NEW SKINK FAUNA FROM CARIBBEAN ISLAND (SQUAMATA, MABUYIDAE, MABUYINAE), ZOOTAXA 3288,244 PP. DESCRIPTION ON PAGE 190	paratype	1
PARATYPE OF SPONDYLURUS POWELLI, S. BLAIR HEDGES & CAITLIN E. CONN, 2012. A NEW SKINK FAUNA FROM CARIBBEAN ISLAND (SQUAMATA, MABUYIDAE, MABUYINAE), ZOOTAXA 3288,244 PP. DESCRIPTION ON PAGE 190.	paratype	1
PARATYPE OF STENOCERCUS APURIMACUS, FRITTS, 1972, OCCAS. PAPERS MUS. NAT. HIST., UNIV. KANSAS, 10:2	paratype	1
PARATYPE OF STENOCERCUS EMPETRUS, FRITTS, 1972, OCCAS. PAPERS MUS. NAT. HIST., UNIV. KANSAS, 10:7	paratype	1
PARATYPE OF STENOCERCUS FIMBRIATUS	paratype	1
PARATYPE OF STILOSOMA EXTENUATUM MULTISTICTUM	paratype	1
PARATYPE OF SYLVIA HORTENSIS CYRENAICAE (SVENSSON, 2012)	paratype	1
PARATYPE OF SYMPLECTES AMAUROCEPHALUS ANALOGUS TODD, W.E.C. 1932. A NEW WEAVER-BIRD FROM CAMEROUN. PROCEEDINGS OF THE BIOLOGICAL SOCIETY OF WASHINGTON, 45:221-222. PUBLISHED 26 NOV 1932.	paratype	1
PARATYPE OF SYNAPTURANUS SALSERI, PYBURN, 1975, HERPETOLOGICA, 31:440	paratype	1
PARATYPE OF SYNCOPE ANTENORI	paratype	1
PARATYPE OF SYRRHOPUS GAIGEAE	paratype	1
PARATYPE OF TANTILLA OOLITICA	paratype	1
PARATYPE OF TANTILLA OOLITICA, TELFORD, 1966, BULL. FLORIDA STATE MUS., 10:281	paratype	1
PARATYPE OF TANTILLA RELICTA NEILLI	paratype	1
PARATYPE OF TANTILLA RELICTA PAMLICA	paratype	1
PARATYPE OF TAPECOMYS PRIMUS (ANDERSON & YATES, 2000)	paratype	1
PARATYPE OF TARENTOLA AMERICANA WARRENI, SCHWARTZ, 1968, PROC. BIOL. SOC. WASHINGTON, 81:134	paratype	1
PARATYPE OF TATERA ROBUSTA ROBUSTA ((CRETZSCHMAR))	paratype	1
PARATYPE OF TATERA VALIDA VALIDA ((BOCAGE))	paratype	1
PARATYPE OF TATERILLUS EMINI ((THE CORYNDON MUSEUM))	paratype	1
PARATYPE OF TAUDACTYLUS EUNGELLENSIS	paratype	1
PARATYPE OF TELMATOBIUS SANBORNI	paratype	1
PARATYPE OF TERRAPENE COAHUILA	paratype	1
PARATYPE OF THAMNOMYS KEMPI MAJOR	paratype	1
