typestatus	standard	vetted
HOLOTYPE OF ASTHENES D'ORBIGNYI CONSOBRINA, HELLMAYR, C. E. 1925. CATALOGUE OF BIRDS OF THE AMERICAS AND THE ADJACENT ISLANDS IN FIELD MUSEUM OF NATURAL HISTORY. FIELD MUS. ZOOL. SER., IV,390. PAGE 142, PUBLISHED 29 DECEMBER 1925.	holotype	1
HOLOTYPE OF ASTHENES WYATTI SANCTAE-MARTAE, TODD, W. E. C. 1950. TWO APPARENTLY NEW OVEN-BIRDS FROM COLOMBIA. PROC. BIOL. SOC. WASH., 85-88. PAGE 85, PUBLISHED 25 MAY 1950.	holotype	1
HOLOTYPE OF ASTUR TACHIRO ORIENTICOLA, OBERHOLSER, H. C. 1906. DESCRIPTION OF TWO NEW BIRDS FROM BRITISH EAST AFRICA. ANNALS CARNEGIE MUSEUM, 495-497. PAGE 495, PUBLISHED 16 MAY 1906.	holotype	1
HOLOTYPE OF ASTURINA NITIDA PALLIDA, TODD, W. E. C. 1915. PRELIMINARY DIAGNOSES OF SEVEN APPARENTLY NEW NEOTROPICAL BIRDS. PROC. BIOL. SOC. WASH., 169-170. PAGE 170, PUBLISHED 29 NOVEMBER 1915.	holotype	1
HOLOTYPE OF ATELEODACNIS LEUCOGENYS CYANOCHROUS, TODD, W. E. C. 1924. DESCRIPTIONS OF EIGHT NEW NEOTROPICAL BIRDS. PROC. BIOL. SOC. WASH., 121-124. PAGE 122, PUBLISHED 8 JULY 1924.	holotype	1
HOLOTYPE OF ATELERIX ALBIVENTRIS ((WAGNER))	holotype	1
HOLOTYPE OF ATELES CHAMEK ((HUMBOLDT))	holotype	1
HOLOTYPE OF ATELES FUSCIPES ROBUSTUS (ALLEN)	holotype	1
HOLOTYPE OF ATELOPUS CARRIKERI	holotype	1
HOLOTYPE OF ATELOPUS WALKERI	holotype	1
HOLOTYPE OF ATHERURUS MACROURUS ((LINNEAUS))	holotype	1
HOLOTYPE OF ATILAX PALUDINOSUS MACRODON (ALLEN)	holotype	1
HOLOTYPE OF ATLAPETES BRUNNEI-NUCHA ALLENI, PARKES, K. C. 1954. A REVISION OF THE NEOTROPICAL FINCH ATLAPETES BRUNNEI-NUCHA. CONDOR, 129-138. PAGE 135, PUBLISHED 21 MAY 1954.	holotype	1
HOLOTYPE OF ATLAPETES BRUNNEI-NUCHA ELSAE, PARKES, K. C. 1954. A REVISION OF THE NEOTROPICAL FINCH ATLAPETES BRUNNEI-NUCHA. CONDOR, 129-138. PAGE 135, PUBLISHED 21 MAY 1954.	holotype	1
HOLOTYPE OF ATLAPETES SEMIRUFUS MAJUSCULUS, TODD, W. E. C. 1919. DESCRIPTIONS OF APPARENTLY NEW COLOMBIAN BIRDS. PROC. BIOL. SOC. WASH., 113-118. PAGE 113, PUBLISHED 27 JUNE 1919.	holotype	1
HOLOTYPE OF ATRACTUS GAIGEAE	holotype	1
HOLOTYPE OF ATRACTUS SANCTAEMARTAE	holotype	1
HOLOTYPE OF ATRACTUS TAENIATUS, GRIFFIN, 1915, MEM. CARNEGIE MUS., 7:173	holotype	1
HOLOTYPE OF ATTILA ARIZELUS, TODD, W. E. C. 1915. PRELIMINARY DIAGNOSES OF SEVEN APPARENTLY NEW NEOTROPICAL BIRDS. PROC. BIOL. SOC. WASH., 169-170. PAGE 169, PUBLISHED 29 NOVEMBER 1915.	holotype	1
